file,model_count
2008-03-25_01-17-40.dimacs,10965617044289649657574837696335263767414636002222229822964082252938011110751972410175992092361334415258849584771875000000000
2008-03-26_13-32-30.dimacs,10965617044289649657574837696335263767414636002222229822964082252938011110751972410175992092361334415258849584771875000000000
2008-03-29_17-26-10.dimacs,14953114151304067714874778676820814228292685457575767940405566708551833332843598741149080125947274202625703979234375000000000
2008-04-01_14-47-57.dimacs,33215213326417075740568735757895859702061801128203927296677769688596115884344047659621549691874413584652795325863281250000000
2008-04-05_00-07-46.dimacs,49823978287798506323875404352951294197667868329643041694605399954187183849208736559079505031749346842035356955105468750000000
2008-04-05_02-44-30.dimacs,24913147442072145874960002892583151743409100802158671596891445398386601947297033349186933009812399886073842443863281250000000
2008-04-06_07-17-02.dimacs,33217529922762861166613337190110868991212134402878228795855260531182135929729377798915910679749866514765123258484375000000000
2008-04-12_20-07-53.dimacs,45973061252047820453672168416476703625890013922496843356689524509218044222490227724333155378298357590590141647484375000000000
2008-04-13_08-20-00.dimacs,45973061252047820453672168416476703625890013922496843356689524509218044222490227724333155378298357590590141647484375000000000
2008-05-13_02-43-27.dimacs,21242248437272283680697508321662789428942418153520329575029344532809239065989098460153937308530045017440223225546875000000000
2008-05-16_16-10-31.dimacs,21242248437272283680697508321662789428942418153520329575029344532809239065989098460153937308530045017440223225546875000000000
2008-05-18_14-39-43.dimacs,32210103540344202008892544513260537366737828051923321505701156194027067566852512899618034020176327172786469814046875000000000
2008-05-18_23-05-34.dimacs,96630310621032606026677633539781612100213484155769964517103468582081202700557538698854102060528981518359409442140625000000000
2008-05-22_02-07-58.dimacs,124308844386827411693376742174037850734997782248187337593623715021657644461030346033119060561268786770640340335992187500000000
2008-05-22_21-56-26.dimacs,124308844386827411693376742174037850734997782248187337593623715021657644461030346033119060561268786770640340335992187500000000
2008-05-24_20-47-18.dimacs,124308844386827411693376742174037850734997782248187337593623715021657644461030346033119060561268786770640340335992187500000000
2008-05-26_12-01-49.dimacs,124308844386827411693376742174037850734997782248187337593623715021657644461030346033119060561268786770640340335992187500000000
2008-05-27_10-55-34.dimacs,248617688773654823386753484348075701469995564496374675187247430043315288922060692066238121122537573541280680671984375000000000
2008-06-01_22-36-39.dimacs,497231630070707293467258305892089749160954816195046293941338476550730837775696874345667056364051937139865058271984375000000000
2008-06-02_04-51-29.dimacs,497231630070707293467258305892089749160954816195046293941338476550730837775696874345667056364051937139865058271984375000000000
2008-06-02_13-28-47.dimacs,745847445106060940200887458838134623741432224292569440912007714826096256663545311518500584546077905709797587407976562500000000
2008-06-02_18-59-16.dimacs,1243079075176768233668145764730224372902387040487615734853346191376827094439242185864167640910129842849662645679960937500000000
2008-06-04_11-28-24.dimacs,1983178178124193607450217958530184927044465982470730890263055249856158151900684631081508523336984748753018818112812500000000000
2008-06-12_20-23-03.dimacs,5949534534372580822350653875590554781133397947412192670789165749568474455702053893244525570010954246259056454338437500000000000
2008-06-13_11-16-09.dimacs,5949534534372580822350653875590554781133397947412192670789165749568474455702053893244525570010954246259056454338437500000000000
2008-06-15_18-35-34.dimacs,5949534534372580822350653875590554781133397947412192670789165749568474455702053893244525570010954246259056454338437500000000000
2008-06-23_22-31-52.dimacs,5001058011500250766766659384111767839606314573497734366924878047241134373767483074962469074236634370430857657595468750000000000
2008-07-04_10-25-44.dimacs,5003038138404086550292228959715474552930583344425127679220616677499878698191642434754584874909432839867306401038218750000000000
2008-07-09_21-24-18.dimacs,4765825122358325508303621181241573037846607394945630702036641828116773958323497421763552853762608691758974524292789062500000000
2008-07-15_22-01-49.dimacs,6354433496477767344404828241655430717128809859927507602715522437489031944431329895684737138350144922345299365723718750000000000
2008-07-17_18-26-45.dimacs,6354433496477767344404828241655430717128809859927507602715522437489031944431329895684737138350144922345299365723718750000000000
2008-07-19_09-27-19.dimacs,19063300489433302033214484724966292151386429579782522808146567312467095833293989687054211415050434767035898097171156250000000000
2008-07-19_22-57-00.dimacs,6354433496477767344404828241655430717128809859927507602715522437489031944431329895684737138350144922345299365723718750000000000
2008-07-27_12-10-07.dimacs,10590722494129612240674713736092384528548016433212512671192537395815053240718883159474561897250241537242165609539531250000000000
2008-07-28_00-01-16.dimacs,21103227165310273729677586567207134107340269787425097432274254804016675337662697511312424607770202662558604839889531250000000000
2008-08-05_13-10-34.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-09_16-15-14.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-17_14-12-26.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-17_14-17-48.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-19_11-28-52.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-28_22-42-52.dimacs,190628618464229078792132629536303365537945820454181106025875481219874223245623020049417887290265987522315769687500000000000000
2008-08-29_08-37-07.dimacs,74133271705435223391948932154658949334803063665416176678224171758171050048302135285015411937516348800217256562500000000000000
2008-09-13_14-59-38.dimacs,28928446764761352450339417040508707726966052752015041282818339278783556864808285360860583825981192866471041875000000000000000
2008-09-16_19-35-42.dimacs,303748410352591693987930042659977240815733986388284956881938210861820036987249071272197134663606316386143376875000000000000000
2008-09-22_21-34-24.dimacs,911245231057775081963790127979931722447201959164854870645814632585460110961747213816591403990818949158430130625000000000000000
2008-09-25_10-48-06.dimacs,2437042511485353463340032969289061826583188088659168550922011769902483294211291388880870383690911730557726658125000000000000000
2008-09-27_14-01-22.dimacs,12185212557426767316700164846445309132915940443295842754610058849512416471056456944404351918454558652788633290625000000000000000
2008-09-28_13-50-57.dimacs,17059297580397474243380230785023432786082316620614179856454082389317383059479039722166092685836382113904086606875000000000000000
2008-10-12_11-20-08.dimacs,34118529780750898247777114548141812025337735463746075847201374754939278853729167654907232399746622434735820366875000000000000000
2008-10-15_14-50-14.dimacs,40718432525296042833296434172325031043182631211927409542991977658232492859031843734022016527178178025709746697587500000000000000
2008-10-20_08-43-10.dimacs,122155297575888128499889302516975093129547893635782228628975932974697478577095531202066049581534534077129240092762500000000000000
